PRE_NO,UNIT,ROUTE,REASON,Longitude,Latitude
PW4J01234,PW4台灣自來水股份有限公司第四區管理處台中給水廠,青海路一段(79號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6544876,24.16461243
PW4J01235,PW4台灣自來水股份有限公司第四區管理處台中給水廠,安和路(24號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6193276,24.16588455
CG1J00431,CG1欣中天然氣股份有限公司,西屯路三段53巷3號(西屯路三段53巷7號),孔蓋異常，恐影響民眾安危,120.6363342,24.18120921
CG1J00432,CG1欣中天然氣股份有限公司,南屯路二段(400巷9號對面),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.6457799,24.13816066
CG1J00443,CG1欣中天然氣股份有限公司,旱溪東路一段291號(一帶),現場通報有瓦斯味道、設備損壞或用戶供氣中斷,120.7008795,24.13414211
PTBJ02182,PTB台灣電力股份有限公司台中區營業處(維護組),環中東路三段(建軍二街口.G6346BC9046),孔蓋異常，恐影響民眾安危,120.7187704,24.16202925
PTBJ02251,PTB台灣電力股份有限公司台中區營業處(維護組),忠孝路(72號),孔蓋異常，恐影響民眾安危,120.6785437,24.12808818
PW4J01311,PW4台灣自來水股份有限公司第四區管理處台中給水廠,太原路(三段1280號),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.7312116,24.16082289
PTBJ02282,PTB台灣電力股份有限公司台中區營業處(維護組),健行路(874號.G5645GE81),孔蓋異常，恐影響民眾安危,120.6685732,24.15924519
PC2J00513,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,福上巷216弄2號(福上巷216弄2號),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6482741,24.17533361
PW4J01327,PW4台灣自來水股份有限公司第四區管理處台中給水廠,大智路(與建德街口),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6902762,24.12958848
PC2J00515,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,西屯路二段282巷53號(西屯路二段282巷53號),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6444686,24.1775031
PW9J00037,PW9台灣自來水股份有限公司第四區管理處大甲營運所,永豐里(六分路４７之１號北邊15公尺),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6889889,24.33100935
PC2J00516,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,豐樂路(21-2號),孔蓋異常，恐影響民眾安危,120.6894129,24.19307317
PC2J00518,PC2中華電信股份有限公司臺中營運處第二客戶網路中心,保安一街210號(保安一街210號),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6143939,24.14723675
PT5J00104,PT5台灣電力股份有限公司台中區營業處,頭張路一段55巷(1號前),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.7003546,24.19379023
PWCJ00202,PWC台灣自來水股份有限公司第四區管理處大雅營運所,和睦路一段(636號前),地下漏水、路面漏水、路面下陷、既有用戶無水處理,120.6502799,24.28223275
PTBJ02548,PTB台灣電力股份有限公司台中區營業處(維護組),和昌街(311號),孔蓋異常，恐影響民眾安危,120.6691252,24.12523833
PC3J00106,PC3中華電信股份有限公司臺中營運處第三客戶網路中心,民生路(50巷40號),通訊、重要管路管理監控資料傳送中斷、用戶停電處理,120.6782546,24.24595936
PTBJ02560,PTB台灣電力股份有限公司台中區營業處(維護組),十甲路(111號),孔蓋異常，恐影響民眾安危,120.6995889,24.1447627
PTBJ02561,PTB台灣電力股份有限公司台中區營業處(維護組),自由路四段(168號),孔蓋異常，恐影響民眾安危,120.6998375,24.14269801
PTBJ02562,PTB台灣電力股份有限公司台中區營業處(維護組),旱溪西路一段(466號),孔蓋異常，恐影響民眾安危,120.6998894,24.14215243
